fdc_id,data_type,description,nutrient_id,amount,nutrient_name,unit_name,brand_name,branded_food_category
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1220,5.43,Arginine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1214,4.933,Lysine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1227,3.217,Serine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1226,2.267,Proline,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1218,2.277,Tyrosine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1212,2.807,Isoleucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1213,5.26,Leucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1222,2.633,Alanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1232,1.0,Cysteine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1257,0.0,"Fatty acids, total trans",G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1253,0.0,Cholesterol,MG,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1008,366.0,Energy,KCAL,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1089,8.78,"Iron, Fe",MG,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1162,0.0,"Vitamin C, total ascorbic acid",MG,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1258,0.0,"Fatty acids, total saturated",G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1087,366.0,"Calcium, Ca",MG,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1093,951.0,"Sodium, Na",MG,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1104,0.0,"Vitamin A, IU",IU,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,2000,2.44,"Sugars, total including NLEA",G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1079,4.9,"Fiber, total dietary",G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1005,9.76,"Carbohydrate, by difference",G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1004,7.32,Total lipid (fat),G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1003,73.17,Protein,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1210,1.032,Tryptophan,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1215,1.01,Methionine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1224,15.498,Glutamic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1223,10.032,Aspartic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1217,4.763,Phenylalanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1216,0.768,Cystine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1225,3.754,Glycine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1219,4.478,Valine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1211,3.49,Threonine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1221,2.217,Histidine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1220,7.573,Arginine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1214,5.949,Lysine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1227,4.588,Serine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1226,4.039,Proline,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1218,3.095,Tyrosine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1212,4.171,Isoleucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1213,7.178,Leucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405179,branded_food,SPORT PERFORMANCE PROTEIN DRINK MIX,1222,3.666,Alanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1257,0.0,"Fatty acids, total trans",G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1253,0.0,Cholesterol,MG,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1008,379.0,Energy,KCAL,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1089,18.62,"Iron, Fe",MG,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1162,0.0,"Vitamin C, total ascorbic acid",MG,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1258,1.72,"Fatty acids, total saturated",G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1087,690.0,"Calcium, Ca",MG,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1093,655.0,"Sodium, Na",MG,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1104,0.0,"Vitamin A, IU",IU,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,2000,6.9,"Sugars, total including NLEA",G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1079,3.4,"Fiber, total dietary",G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1005,17.24,"Carbohydrate, by difference",G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1004,1.72,Total lipid (fat),G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1003,68.97,Protein,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1210,0.755,Tryptophan,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1215,0.693,Methionine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1224,10.369,Glutamic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1223,6.966,Aspartic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1217,3.169,Phenylalanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1225,3.007,Glycine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1219,3.124,Valine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1211,2.307,Threonine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1221,1.403,Histidine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1220,5.431,Arginine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1214,4.931,Lysine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1227,3.217,Serine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1226,2.269,Proline,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1218,2.276,Tyrosine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1212,2.807,Isoleucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1213,5.262,Leucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1222,2.631,Alanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405235,branded_food,PROTEIN & GREENS DRINK MIX POWDER,1232,1.0,Cysteine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1257,0.0,"Fatty acids, total trans",G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1253,0.0,Cholesterol,MG,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1008,364.0,Energy,KCAL,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1089,16.36,"Iron, Fe",MG,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1162,0.0,"Vitamin C, total ascorbic acid",MG,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1258,1.52,"Fatty acids, total saturated",G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1087,606.0,"Calcium, Ca",MG,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1093,545.0,"Sodium, Na",MG,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1104,0.0,"Vitamin A, IU",IU,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",2000,6.06,"Sugars, total including NLEA",G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1079,6.1,"Fiber, total dietary",G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1005,18.18,"Carbohydrate, by difference",G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1004,3.03,Total lipid (fat),G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1003,60.61,Protein,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1210,0.755,Tryptophan,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1215,0.694,Methionine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1224,10.367,Glutamic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1223,6.967,Aspartic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1217,3.167,Phenylalanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1225,3.006,Glycine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1219,3.124,Valine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1211,2.309,Threonine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1221,1.403,Histidine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1220,5.43,Arginine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1214,4.933,Lysine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1227,3.218,Serine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1226,2.267,Proline,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1218,2.276,Tyrosine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1212,2.809,Isoleucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1213,5.261,Leucine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1222,2.633,Alanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405505,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, CHOCOLATE",1232,1.0,Cysteine,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1257,0.0,"Fatty acids, total trans",G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1253,0.0,Cholesterol,MG,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1008,367.0,Energy,KCAL,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1089,18.0,"Iron, Fe",MG,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1162,0.0,"Vitamin C, total ascorbic acid",MG,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1258,1.67,"Fatty acids, total saturated",G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1087,667.0,"Calcium, Ca",MG,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1093,633.0,"Sodium, Na",MG,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1104,0.0,"Vitamin A, IU",IU,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",2000,6.67,"Sugars, total including NLEA",G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1079,3.3,"Fiber, total dietary",G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1005,20.0,"Carbohydrate, by difference",G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1004,1.67,Total lipid (fat),G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1003,66.67,Protein,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1210,0.757,Tryptophan,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1215,0.693,Methionine,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1224,10.367,Glutamic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1223,6.967,Aspartic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1217,3.167,Phenylalanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405576,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1225,3.007,Glycine,G,,"Energy, Protein & Muscle Recovery Drinks"
